"","id","variable","actual_value"
"123",5,"aff_attitude_responsible",1
"124",5,"aff_attitude_difficult_breathing",0.857142857142857
"125",5,"effective_means_handwashing",1
"126",5,"effective_means_masks",1
"127",5,"effective_means_distance",1
"128",5,"effective_means_ventilation",0.571428571428571
"129",5,"risk_likely_contagion",0.125
"130",5,"risk_contagion_absent_protection",0.875
"131",5,"risk_severity",0.714285714285714
"132",5,"risk_fear_spread",1
"133",5,"risk_fear_contagion_self",1
"134",5,"risk_fear_contagion_others",1
"135",5,"risk_fear_restrictions",0.714285714285714
"136",6,"automaticity_carry_mask",1
"137",6,"automaticity_put_on_mask",1
"138",6,"inst_attitude_protects_self",1
"139",6,"inst_attitude_protects_others",1
"140",6,"inst_attitude_sense_of_community",1
"141",6,"inst_attitude_enough_oxygen",1
"142",6,"inst_attitude_no_needless_waste",0.857142857142857
"143",6,"norms_family_friends",1
"144",6,"norms_risk_groups",1
"145",6,"norms_officials",1
"146",6,"norms_people_present_indoors",1
"147",6,"aff_attitude_comfortable",0.714285714285714
"148",6,"aff_attitude_calm",0.857142857142857
"149",6,"aff_attitude_safe",0.857142857142857
"150",6,"aff_attitude_responsible",1
"151",6,"aff_attitude_difficult_breathing",0.714285714285714
"152",6,"effective_means_handwashing",1
"153",6,"effective_means_masks",1
"154",6,"effective_means_distance",1
"155",6,"effective_means_ventilation",1
"156",6,"risk_likely_contagion",0.25
"157",6,"risk_contagion_absent_protection",0.5
"158",6,"risk_severity",0.428571428571429
"159",6,"risk_fear_spread",0.714285714285714
"160",6,"risk_fear_contagion_self",0.571428571428571
"161",6,"risk_fear_contagion_others",0.714285714285714
"162",6,"risk_fear_restrictions",0.142857142857143
"163",7,"automaticity_carry_mask",1
"164",7,"automaticity_put_on_mask",1
"165",7,"inst_attitude_protects_self",1
"166",7,"inst_attitude_protects_others",0.428571428571429
"167",7,"inst_attitude_sense_of_community",0.571428571428571
"168",7,"inst_attitude_enough_oxygen",0.857142857142857
"169",7,"inst_attitude_no_needless_waste",1
"170",7,"norms_family_friends",0.714285714285714
"171",7,"norms_risk_groups",1
"172",7,"norms_officials",0.571428571428571
"173",7,"norms_people_present_indoors",1
"174",7,"aff_attitude_comfortable",1
"175",7,"aff_attitude_calm",0.857142857142857
"176",7,"aff_attitude_safe",1
"177",7,"aff_attitude_responsible",1
"178",7,"aff_attitude_difficult_breathing",0.285714285714286
"179",7,"effective_means_handwashing",1
"180",7,"effective_means_masks",1
"181",7,"effective_means_distance",1
"182",7,"effective_means_ventilation",1
"183",7,"risk_likely_contagion",0.125
"184",7,"risk_contagion_absent_protection",0.75
"185",7,"risk_severity",0.142857142857143
"186",7,"risk_fear_spread",0.142857142857143
"187",7,"risk_fear_contagion_self",0.142857142857143
"188",7,"risk_fear_contagion_others",0.285714285714286
"189",7,"risk_fear_restrictions",0.142857142857143
"190",8,"automaticity_carry_mask",1
"191",8,"automaticity_put_on_mask",0.857142857142857
"192",8,"inst_attitude_protects_self",0.714285714285714
"193",8,"inst_attitude_protects_others",1
"194",8,"inst_attitude_sense_of_community",0.714285714285714
"195",8,"inst_attitude_enough_oxygen",0.857142857142857
"196",8,"inst_attitude_no_needless_waste",1
"197",8,"norms_family_friends",1
"198",8,"norms_risk_groups",1
"199",8,"norms_officials",1
"200",8,"norms_people_present_indoors",0.571428571428571
"201",8,"aff_attitude_comfortable",0.857142857142857
"202",8,"aff_attitude_calm",1
"203",8,"aff_attitude_safe",0.857142857142857
"204",8,"aff_attitude_responsible",1
"205",8,"aff_attitude_difficult_breathing",0.285714285714286
"206",8,"effective_means_handwashing",1
"207",8,"effective_means_masks",1
"208",8,"effective_means_distance",1
"209",8,"effective_means_ventilation",1
"210",8,"risk_likely_contagion",0.5
"211",8,"risk_contagion_absent_protection",0.5
