,variable,actual_value,shap_value
0,automaticity_carry_mask,6,0.11717750996480226
1,automaticity_carry_mask,7,0.06371819491242674
2,automaticity_carry_mask,7,0.06945788309060737
3,automaticity_carry_mask,7,0.2539054752425644
4,automaticity_carry_mask,6,0.04469570271669921
5,automaticity_carry_mask,5,0.0008535067460746713
6,automaticity_carry_mask,7,0.1407575307459614
7,automaticity_carry_mask,7,-0.04151331519020924
8,automaticity_carry_mask,5,0.14672768477640255
9,automaticity_carry_mask,7,-0.08294117872870745
10,automaticity_carry_mask,3,0.09669683804676998
11,automaticity_carry_mask,6,0.057284056511643595
12,automaticity_carry_mask,6,0.03029503292152546
13,automaticity_carry_mask,7,0.2725909360097965
14,automaticity_carry_mask,7,0.015367610507651036
15,automaticity_carry_mask,6,0.03343912497107803
16,automaticity_carry_mask,7,0.18929605270476607
17,automaticity_carry_mask,7,0.2542689166004994
18,automaticity_carry_mask,6,0.039914369054102304
19,automaticity_carry_mask,6,0.03221730568447187
20,automaticity_carry_mask,5,-0.018138795025807168
21,automaticity_carry_mask,6,0.08729477163876208
22,automaticity_carry_mask,7,0.029508339335468762
23,automaticity_carry_mask,6,0.07331284921557588
24,automaticity_carry_mask,7,0.20923060222782014
25,automaticity_carry_mask,7,-0.03773822558620699
26,automaticity_carry_mask,7,0.05575153186580846
27,automaticity_carry_mask,6,0.729019890669402
28,automaticity_carry_mask,7,0.15460300933243717
29,automaticity_carry_mask,5,0.15993722326782514
30,automaticity_carry_mask,6,0.12281731354278407
31,automaticity_carry_mask,6,-0.028349442608371495
32,automaticity_carry_mask,6,0.1312370565179736
33,automaticity_carry_mask,6,0.06023410418160536
34,automaticity_carry_mask,6,0.076219126779395
35,automaticity_carry_mask,7,0.05530848594024847
36,automaticity_carry_mask,6,0.16195667108977124
37,automaticity_carry_mask,6,0.27928149200168306
38,automaticity_carry_mask,7,0.125422477943332
39,automaticity_carry_mask,2,-0.2263178787415102
40,automaticity_carry_mask,7,0.2825806621598999
41,automaticity_carry_mask,7,0.06911984628820524
42,automaticity_carry_mask,7,0.021822020746314737
43,automaticity_carry_mask,4,-0.009730777527471585
44,automaticity_carry_mask,7,0.15197943814050374
45,automaticity_carry_mask,1,-0.8654991393692228
46,automaticity_carry_mask,7,-0.08347147992968891
47,automaticity_carry_mask,7,0.08888619721611993
48,automaticity_carry_mask,6,0.08467036544562845
49,automaticity_carry_mask,7,0.1307751799022726
50,automaticity_carry_mask,7,0.028859448795299805
51,automaticity_carry_mask,3,0.21140306319755442
52,automaticity_carry_mask,7,0.15118116977700788
53,automaticity_carry_mask,6,0.008819862934265905
54,automaticity_carry_mask,5,0.04054180135300221
55,automaticity_carry_mask,5,0.15059833218228702
56,automaticity_carry_mask,2,-0.08847589706139701
57,automaticity_carry_mask,7,0.09152420574648462
58,automaticity_carry_mask,6,0.01306040883375724
59,automaticity_carry_mask,6,0.07111337322852194
60,automaticity_carry_mask,6,0.13005987191970209
61,automaticity_carry_mask,6,0.746510433935129
62,automaticity_carry_mask,3,0.2245583670123334
63,automaticity_carry_mask,6,-0.0046203416733297505
64,automaticity_carry_mask,5,0.1029935632577932
65,automaticity_carry_mask,1,-0.8247762599670984
66,automaticity_carry_mask,6,0.07251922726295626
67,automaticity_carry_mask,6,0.722095444160453
68,automaticity_carry_mask,6,0.09488359243660605
69,automaticity_carry_mask,1,-0.552710290324157
70,automaticity_carry_mask,7,-0.001016296934668036
71,automaticity_carry_mask,3,0.2499683584503512
72,automaticity_carry_mask,7,0.25260261400778994
73,automaticity_carry_mask,4,0.056513379276439124
74,automaticity_carry_mask,7,0.4216234823601459
75,automaticity_carry_mask,7,0.2770557998075463
76,automaticity_carry_mask,2,0.20918421337706308
77,automaticity_carry_mask,4,0.0364678338180846
78,automaticity_carry_mask,6,0.034628241110266314
79,automaticity_carry_mask,6,-0.02238358576068163
80,automaticity_carry_mask,7,0.03729193128250298
81,automaticity_carry_mask,7,0.7235870585502004
82,automaticity_carry_mask,3,0.37959886366376944
83,automaticity_carry_mask,6,0.10848922844623653
84,automaticity_carry_mask,7,0.09026716837227262
85,automaticity_carry_mask,6,0.14357399596423046
86,automaticity_carry_mask,7,0.11981602378623961
87,automaticity_carry_mask,6,0.040168146649885376
88,automaticity_carry_mask,6,0.08488738079771109
89,automaticity_carry_mask,7,0.06547719404271493
90,automaticity_carry_mask,5,-0.03445476260262208
91,automaticity_carry_mask,7,0.042439175164675456
92,automaticity_carry_mask,5,0.10148780810040482
93,automaticity_carry_mask,6,-0.0022158918265869024
94,automaticity_carry_mask,7,-0.00548433477923144
95,automaticity_carry_mask,4,0.07764483319469324
96,automaticity_carry_mask,4,0.12349509565650278
97,automaticity_carry_mask,7,0.08133669303153422
