,variable,actual_value,shap_value
0,automaticity_carry_mask,5,-0.05971078608853012
1,automaticity_carry_mask,5,-0.13459065227254768
2,automaticity_carry_mask,7,0.20284044592003964
3,automaticity_carry_mask,7,0.15861379073669413
4,automaticity_carry_mask,7,-0.005514030135583231
5,automaticity_carry_mask,6,-0.1541528825976794
6,automaticity_carry_mask,4,-0.13465204141614023
7,automaticity_carry_mask,6,-0.11937046005623027
8,automaticity_carry_mask,7,0.09625108438003566
9,automaticity_carry_mask,6,-0.07179887958083346
10,automaticity_carry_mask,2,-0.04333595940315417
11,automaticity_carry_mask,6,-0.12456763239889453
12,automaticity_carry_mask,7,0.1528422862875991
13,automaticity_carry_mask,7,0.05652020080355279
14,automaticity_carry_mask,6,-0.2090336268839187
15,automaticity_carry_mask,4,-0.10688548245397987
16,automaticity_carry_mask,7,0.15391487733494486
17,automaticity_carry_mask,6,-0.09058975351145537
18,automaticity_carry_mask,5,-0.16027461007934704
19,automaticity_carry_mask,7,0.11975199660937239
20,automaticity_carry_mask,1,-0.16822166900733854
21,automaticity_carry_mask,6,-0.08214120124247212
22,automaticity_carry_mask,7,0.08988322197244675
23,automaticity_carry_mask,1,-0.1372196045127843
24,automaticity_carry_mask,7,0.2671721608268128
25,automaticity_carry_mask,6,-0.20273196535111293
26,automaticity_carry_mask,7,0.18677653079540738
27,automaticity_carry_mask,6,-0.10929953463818468
28,automaticity_carry_mask,6,-0.090920732602068
29,automaticity_carry_mask,7,0.140288876434443
30,automaticity_carry_mask,7,0.15989399536589793
31,automaticity_carry_mask,7,0.0777340230823467
32,automaticity_carry_mask,7,0.15584232297217193
33,automaticity_carry_mask,1,-0.11564226375708594
34,automaticity_carry_mask,7,0.17520336797206407
35,automaticity_carry_mask,7,0.11085756319262753
36,automaticity_carry_mask,3,-0.3121347691762272
37,automaticity_carry_mask,6,-0.03756649972251161
38,automaticity_carry_mask,5,-0.20093221293627078
39,automaticity_carry_mask,6,-0.08557605728326292
40,automaticity_carry_mask,6,-0.2355114771728506
41,automaticity_carry_mask,1,-0.16963974332644607
42,automaticity_carry_mask,7,0.14866977933807105
43,automaticity_carry_mask,6,-0.06649057861997974
44,automaticity_carry_mask,1,-0.2141023969099311
45,automaticity_carry_mask,7,0.1613954110733944
46,automaticity_carry_mask,6,-0.15049422142932783
47,automaticity_carry_mask,7,0.16803908576195084
48,automaticity_carry_mask,6,-0.10303438705156338
49,automaticity_carry_mask,6,-0.11064857782085413
50,automaticity_carry_mask,7,0.1122570927327565
51,automaticity_carry_mask,2,-0.06218841506280572
52,automaticity_carry_mask,5,-0.1294703756078502
53,automaticity_carry_mask,6,-0.21996492896843187
54,automaticity_carry_mask,6,-0.0809667606971945
55,automaticity_carry_mask,5,-0.12385704007131107
56,automaticity_carry_mask,7,0.16881748734632682
57,automaticity_carry_mask,4,-0.11823688903521407
58,automaticity_carry_mask,7,0.09415561788471603
59,automaticity_carry_mask,7,0.14842216667650046
60,automaticity_carry_mask,4,-0.10207346595398298
61,automaticity_carry_mask,7,0.20786579619365222
62,automaticity_carry_mask,1,-0.26590813697401927
63,automaticity_carry_mask,6,-0.19014830801064628
64,automaticity_carry_mask,7,0.313532472817436
65,automaticity_carry_mask,6,-0.1400714068743857
66,automaticity_carry_mask,7,0.0617001477617406
67,automaticity_carry_mask,6,-0.03181299783032131
68,automaticity_carry_mask,7,0.189515243093288
69,automaticity_carry_mask,3,-0.002790593583346954
70,automaticity_carry_mask,7,0.09633478007321329
71,automaticity_carry_mask,7,0.08032858261988282
72,automaticity_carry_mask,2,-0.05823651373380688
73,automaticity_carry_mask,6,0.00036141421445708903
74,automaticity_carry_mask,2,-0.1661292976027577
75,automaticity_carry_mask,5,-0.0518004038596373
76,automaticity_carry_mask,6,0.002585663998935301
77,automaticity_carry_mask,7,0.044918188277659296
78,automaticity_carry_mask,6,-0.09241355104900251
79,automaticity_carry_mask,7,0.09060052232440373
80,automaticity_carry_mask,5,-0.07526285164031078
81,automaticity_carry_mask,3,-0.08671211160646577
82,automaticity_carry_mask,2,-0.04821913350460043
83,automaticity_carry_mask,5,-0.19699925774890664
84,automaticity_carry_mask,7,0.13972304947976685
85,automaticity_carry_mask,4,-0.11665190471583854
86,automaticity_carry_mask,6,-0.10417678087205143
87,automaticity_carry_mask,6,-0.0970065637214223
88,automaticity_carry_mask,6,-0.2696602917903625
89,automaticity_carry_mask,5,-0.007696759252489121
90,automaticity_carry_mask,5,-0.2203847322241911
91,automaticity_carry_mask,7,0.38532190686595313
92,automaticity_carry_mask,5,-0.20649962074325698
93,automaticity_carry_mask,5,-0.21095560055519857
94,automaticity_carry_mask,4,-0.11432008053806424
95,automaticity_carry_mask,7,0.19296777750478222
96,automaticity_carry_mask,1,-0.06697947542820487
97,automaticity_carry_mask,7,0.13470913335951337
98,automaticity_carry_mask,2,-0.2520593125223601
99,automaticity_carry_mask,7,0.09499008055937044
100,automaticity_carry_mask,7,0.10102002071111217
101,automaticity_carry_mask,7,0.06219604686405273
102,automaticity_carry_mask,6,-0.019084162193432203
103,automaticity_carry_mask,5,-0.08720050644757124
104,automaticity_carry_mask,5,-0.13480208466427784
105,automaticity_carry_mask,6,-0.053509237815113325
106,automaticity_carry_mask,7,0.07551276171535158
107,automaticity_carry_mask,5,-0.17400165739935242
108,automaticity_carry_mask,6,-0.208618300937228
109,automaticity_carry_mask,7,0.1784313277566699
110,automaticity_carry_mask,6,-0.21815862960675542
111,automaticity_carry_mask,7,0.21581726973252438
112,automaticity_carry_mask,7,0.10961271227702477
113,automaticity_carry_mask,6,-0.10470435454069156
114,automaticity_carry_mask,7,0.31130902617191125
115,automaticity_carry_mask,6,-0.11488537881570458
116,automaticity_carry_mask,5,-0.03175392994631866
117,automaticity_carry_mask,7,0.2550730076727016
118,automaticity_carry_mask,6,-0.11877848640677623
119,automaticity_carry_mask,7,0.16853922475557154
120,automaticity_carry_mask,6,-0.0767612135167691
121,automaticity_carry_mask,6,-0.10111056257741358
122,automaticity_carry_mask,1,-0.20014726767144334
123,automaticity_carry_mask,6,-0.11906858146024156
124,automaticity_carry_mask,7,0.06819369687212806
125,automaticity_carry_mask,6,-0.13432069847400818
126,automaticity_carry_mask,7,0.1533464465771192
127,automaticity_carry_mask,6,-0.1207736770677272
128,automaticity_carry_mask,7,0.1553598787008156
129,automaticity_carry_mask,7,0.15638485266885263
130,automaticity_carry_mask,7,0.15753166445405992
131,automaticity_carry_mask,7,0.2936306904492012
132,automaticity_carry_mask,7,0.16959784573485975
133,automaticity_carry_mask,5,0.026685450726548085
134,automaticity_carry_mask,7,0.1866947579389707
135,automaticity_carry_mask,7,0.12941155530243903
136,automaticity_carry_mask,1,-0.16741720950196134
137,automaticity_carry_mask,7,0.1511623793369775
138,automaticity_carry_mask,7,0.06395602020101779
139,automaticity_carry_mask,6,-0.1391138199553878
140,automaticity_carry_mask,3,-0.03997413877798142
141,automaticity_carry_mask,6,-0.05723258149607955
142,automaticity_carry_mask,7,0.16188808994432372
143,automaticity_carry_mask,1,-0.11659902152855314
144,automaticity_carry_mask,1,-0.0670130165991369
145,automaticity_carry_mask,3,-0.006524724038446694
146,automaticity_carry_mask,7,0.20118509853288355
147,automaticity_carry_mask,6,-0.11086081806411681
148,automaticity_carry_mask,7,0.17945513675265937
149,automaticity_carry_mask,6,-0.08122175448095498
150,automaticity_carry_mask,7,0.17271588488572653
151,automaticity_carry_mask,6,-0.13111053193799738
152,automaticity_carry_mask,7,0.12452341919346849
153,automaticity_carry_mask,5,-0.09377804156351856
154,automaticity_carry_mask,7,0.1466154046667743
155,automaticity_carry_mask,6,-0.08743919754775206
156,automaticity_carry_mask,6,-0.07640560710321129
157,automaticity_carry_mask,7,0.1770542769498704
158,automaticity_carry_mask,7,0.12100761866441642
159,automaticity_carry_mask,7,0.13507048288509876
160,automaticity_carry_mask,6,-0.13424953643562215
161,automaticity_carry_mask,6,-0.13668905007660814
162,automaticity_carry_mask,6,-0.12277144071567339
163,automaticity_carry_mask,2,-0.16072140107777716
164,automaticity_carry_mask,6,-0.0763501962938329
165,automaticity_carry_mask,4,-0.12828715081562453
166,automaticity_carry_mask,6,-0.1685991961988658
167,automaticity_carry_mask,7,0.07820033183129059
168,automaticity_carry_mask,7,0.17461140810055228
169,automaticity_carry_mask,7,0.07284338274748266
170,automaticity_carry_mask,7,0.1718362713921066
171,automaticity_carry_mask,6,-0.11253449608373949
172,automaticity_carry_mask,6,-0.10191119166080123
173,automaticity_carry_mask,7,0.10388186946007137
174,automaticity_carry_mask,7,0.2536720330882058
175,automaticity_carry_mask,7,0.09623459336306261
176,automaticity_carry_mask,7,0.07073609827606667
177,automaticity_carry_mask,2,-0.0733136855467191
178,automaticity_carry_mask,7,0.10790196939800824
179,automaticity_carry_mask,7,0.3592259274549077
180,automaticity_carry_mask,6,-0.10898874877165439
181,automaticity_carry_mask,1,-0.00450775119958583
182,automaticity_carry_mask,7,0.13248572789763538
183,automaticity_carry_mask,5,-0.09583394729514562
184,automaticity_carry_mask,4,-0.09222490726022946
185,automaticity_carry_mask,2,0.003452181775301264
186,automaticity_carry_mask,6,-0.12724862146335222
187,automaticity_carry_mask,6,0.012075093508532293
188,automaticity_carry_mask,5,-0.20108812122523048
189,automaticity_carry_mask,7,0.14586931305447742
190,automaticity_carry_mask,7,0.253143607276304
191,automaticity_carry_mask,7,0.0980402664122505
192,automaticity_carry_mask,1,-0.13756914829345143
193,automaticity_carry_mask,1,-0.04652329421232695
194,automaticity_carry_mask,3,0.006772416739886451
195,automaticity_carry_mask,7,0.11924391634464131
196,automaticity_carry_mask,7,0.1716963660455367
197,automaticity_carry_mask,5,-0.2466570222018484
198,automaticity_carry_mask,2,-0.04204232682945589
199,automaticity_carry_mask,7,0.1297619614854734
200,automaticity_carry_mask,4,-0.17506995656831104
201,automaticity_carry_mask,7,0.16900986499088372
202,automaticity_carry_mask,6,0.03223515213129522
203,automaticity_carry_mask,5,-0.07348536533473368
204,automaticity_carry_mask,7,0.07204003896834527
205,automaticity_carry_mask,6,-0.24040396629007024
206,automaticity_carry_mask,4,-0.008973352121082141
207,automaticity_carry_mask,3,-0.080781181187551
208,automaticity_carry_mask,7,0.1736502348928864
209,automaticity_carry_mask,5,-0.17403434112832472
210,automaticity_carry_mask,5,0.0627055372532031
211,automaticity_carry_mask,7,0.1519429649621265
212,automaticity_carry_mask,7,0.1927016438381092
213,automaticity_carry_mask,7,0.1170232180218961
214,automaticity_carry_mask,7,0.1370999176021278
215,automaticity_carry_mask,7,0.11157661151011893
216,automaticity_carry_mask,6,-0.08045945870065838
217,automaticity_carry_mask,1,-0.15229521935378906
218,automaticity_carry_mask,1,-0.21152228178776383
219,automaticity_carry_mask,7,0.16696482440655427
220,automaticity_carry_mask,7,0.09053374365211499
221,automaticity_carry_mask,7,0.19269806974629067
222,automaticity_carry_mask,7,0.14052261420727782
223,automaticity_carry_mask,5,-0.11788920388853132
224,automaticity_carry_mask,7,0.13175565225670693
225,automaticity_carry_mask,5,-0.05386926137084935
226,automaticity_carry_mask,6,-0.227070799550264
227,automaticity_carry_mask,7,0.02069914524048515
228,automaticity_carry_mask,7,0.14734126931571243
229,automaticity_carry_mask,7,0.12078772084335537
230,automaticity_carry_mask,6,-0.011123465119611566
231,automaticity_carry_mask,7,0.09688944337441605
232,automaticity_carry_mask,7,0.17314910769925312
233,automaticity_carry_mask,6,-0.0684376984362162
234,automaticity_carry_mask,7,0.07285018015202772
235,automaticity_carry_mask,5,-0.08447264268140264
236,automaticity_carry_mask,5,-0.056998781759920764
237,automaticity_carry_mask,7,0.11152617659247042
238,automaticity_carry_mask,3,-0.06384088197293805
239,automaticity_carry_mask,7,0.11945078034500131
240,automaticity_carry_mask,7,0.1243423888204261
241,automaticity_carry_mask,5,-0.007518033868379573
242,automaticity_carry_mask,3,-0.07500010974013958
243,automaticity_carry_mask,7,0.1995336093063387
244,automaticity_carry_mask,6,-0.04503247485854979
245,automaticity_carry_mask,6,-0.0998726032567577
246,automaticity_carry_mask,1,-0.10934526371088552
247,automaticity_carry_mask,6,-0.08896702421102855
248,automaticity_carry_mask,7,0.22150791793440874
249,automaticity_carry_mask,6,-0.10673719186189484
250,automaticity_carry_mask,5,-0.18294024343777454
251,automaticity_carry_mask,6,-0.12598884336895713
252,automaticity_carry_mask,4,-0.0028099659495506033
253,automaticity_carry_mask,5,-0.1912329375005765
254,automaticity_carry_mask,7,0.20102469238067003
255,automaticity_carry_mask,6,-0.14545724444294858
256,automaticity_carry_mask,7,0.3261781809482425
257,automaticity_carry_mask,2,-0.2492548967247581
258,automaticity_carry_mask,6,-0.08517008089880476
