,variable,actual_value,shap_value
0,automaticity_carry_mask,5,0.24984382894564447
1,automaticity_carry_mask,7,0.041110063102624536
2,automaticity_carry_mask,5,0.3479261029501116
3,automaticity_carry_mask,7,0.0412785447162323
4,automaticity_carry_mask,7,0.16549089059087263
5,automaticity_carry_mask,6,0.17122051426572626
6,automaticity_carry_mask,7,0.016074661700048787
7,automaticity_carry_mask,6,0.055346064146494914
8,automaticity_carry_mask,7,0.022776867864682922
9,automaticity_carry_mask,6,0.04784042503620977
10,automaticity_carry_mask,6,0.055749055903493834
11,automaticity_carry_mask,6,0.11362518473453317
12,automaticity_carry_mask,5,0.13670435594646116
13,automaticity_carry_mask,1,-1.2083330794625848
14,automaticity_carry_mask,7,-0.012363283131977605
15,automaticity_carry_mask,6,0.24449069215519997
16,automaticity_carry_mask,7,0.050590383105243254
17,automaticity_carry_mask,6,0.08595528025077828
18,automaticity_carry_mask,7,0.05247700056451478
19,automaticity_carry_mask,6,0.12073300938778364
20,automaticity_carry_mask,6,0.0033914834273566594
21,automaticity_carry_mask,7,0.08000797802046836
22,automaticity_carry_mask,7,0.08173719969455673
23,automaticity_carry_mask,7,0.034138479739101946
24,automaticity_carry_mask,7,0.03479131321463217
25,automaticity_carry_mask,7,0.09830046646587877
26,automaticity_carry_mask,6,0.02255989784242717
27,automaticity_carry_mask,7,0.04816021176168378
28,automaticity_carry_mask,7,0.04167052414287394
29,automaticity_carry_mask,7,0.03461195981114617
30,automaticity_carry_mask,1,-1.064145332661827
31,automaticity_carry_mask,7,0.13085347722099933
32,automaticity_carry_mask,7,0.02597509347736498
33,automaticity_carry_mask,7,0.053893163102571556
34,automaticity_carry_mask,5,0.3434987347177976
35,automaticity_carry_mask,5,0.14138816434844292
36,automaticity_carry_mask,7,0.04436869107370389
37,automaticity_carry_mask,7,0.023114436525327815
38,automaticity_carry_mask,3,-0.8888885335478987
39,automaticity_carry_mask,6,0.17328075244545554
40,automaticity_carry_mask,7,0.028204906122401573
41,automaticity_carry_mask,2,-0.23784060363782827
42,automaticity_carry_mask,2,-0.5078096264729732
43,automaticity_carry_mask,5,0.25310837280222337
44,automaticity_carry_mask,6,0.10892990444395252
45,automaticity_carry_mask,7,0.08914214449740346
46,automaticity_carry_mask,3,-0.0030134922520608344
47,automaticity_carry_mask,3,-0.1621466612926249
48,automaticity_carry_mask,4,-0.6221349914818887
49,automaticity_carry_mask,5,0.1371420498772414
50,automaticity_carry_mask,6,0.12731754635373418
51,automaticity_carry_mask,7,0.1807579856276617
52,automaticity_carry_mask,4,0.07455909561861014
53,automaticity_carry_mask,7,0.01720362749637006
54,automaticity_carry_mask,7,0.11101140665651069
55,automaticity_carry_mask,7,-0.015307564236574457
56,automaticity_carry_mask,7,-0.06677653219237022
57,automaticity_carry_mask,7,0.016659413188108086
58,automaticity_carry_mask,6,0.10951224803849773
59,automaticity_carry_mask,7,0.03556396320039873
60,automaticity_carry_mask,7,0.01904988103084773
61,automaticity_carry_mask,7,-0.018122674179393457
